_GAMENAME|BLOCKPOST
_COST_OPERATION|Cost operation 50 coin!
_PLACE_WEAPON_CASE|Set 3 weapons for exchange <color=red>(weapons will be destroyed permanently)</color>, in result you will receive a special case.
_PLACE_WEAPON_WEAPON|Set 3 weapons for modernization <color=red>(weapons will be destroyed permanently)</color>, in result you will receive a modded weapon.
_PLACE_CASE_2_COIN|Set 1 case for sell <color=red>(case will be delete from inventory permanently)</color>, in result you will receive 2 coin.
_PLACE_CASE_3_COIN|Set 1 case for sell <color=red>(case will be delete from inventory permanently)</color>, in result you will receive 1 coin.
_PLACE_CASE_1_COIN|Set 1 case for sell <color=red>(case will be delete from inventory permanently)</color>, in result you will receive 1 coin.
_WAITING_SERVER|WAITING FOR SERVER RESPONSE
_START_DISARMAMENT|START EXCHANGE
_START_UPGRADE_NOT|START MODERNIZATION (IN DEVELOPING)
_SALE_WILL_BE|SELL WILL BE AVAILABLE THROUGH
_START_SALE|START SELL
_MAP_SAVED|MAP SAVED
_CONSERVATION|MAP SAVING...
_ENABLE_CHAT|ENABLE CHAT
_DISABLE_CHAT|DISABLE CHAT
_GAME_MENU|GAME MENU
_BACK_TO_GAME|RETURN TO GAME
_CHANGE_WEAPON|CHANGE WEAPON
_SAVE_MAP|SAVE MAP
_EXIT_MAIN_MENU|EXIT TO MAIN MENU
_SET1|SET 1
_SET2|SET 2
_SET3|SET 3
_PRIMARY|PRIMARY
_SECONDARY|SECONDARY
_MELEE|MELEE
_BUILDING_BLOCK|BLOCK
_ADDITIONAL|SPECIAL
_COIN|coin
_COINS|coins
_VOICE|voice
_VOICES|voices
_DAMAGE|DAMAGE
_CAGE|CLIP
_STOCK|AMMO
_RATE_FIRE|FIRERATE
_DISTANCE|DISTANCE
_ACCURACY|ACCURACY
_RELOAD_SPEED|RELOAD SPEED
_RECOIL|RECOIL
_PROPERTIES|PENETRATION
_MOBILITY|MOBILITY
_OVERVIEW|VIEW
_WEAR_WEAPON|EQUIP WEAPON
_REMOVE_WEAPON|DROP WEAPON
_COLOR_SKIN|SKIN TONE
_COLOR_EYE|EYE COLOR
_COLOR_HAIR|HAIR COLOR
_HAIRSTYLE|HAIR STYLE
_EYE_TYPE|EYE
_BEARD|BEARD
_HAT|HAT
_BODY|BODY
_PANTS|PANTS
_BOOTS|BOOTS
_BASIC_LVL|BASIC Lv.
_FRAGS|FRAGS:
_PROGRESS|PROGRESS
_WITHOUT_SIGHT|WITHOUT SIGHT
_NEW_MAP|NEW MAP
_IS_LOADING|LOADING
_NAME_MAP|MAP NAME
_SIZE_MAP|SIZE MAP
_HEIGHT_MAP|HEIGHT
_CREATE|CREATE
_LOAD|LOAD
_CHANGE_NAME|CHANGE NAME
_SAVING|SAVING...
_PURCHASE_CHANGE_NAME|Buy rename (2 attemps)
_BUY|BUY
_REGULAR_TASKS|REGULAR TASKS
_ACTIVE_TASKS|ACTIVE TASKS
_PROGRESS_ACTIVITIES|Progress of these tasks is always performed
_MUST_SELECT_TASK|You must select one job to run it
_NEW_LVL|NEW LEVEL
_REACH_LVL|Reach %param% level
_SHTORM_TROOPER|TROOPER
_FRAGS_ASSAULT_RIFLE|Reach %param% frags with assault rifle
_MADE_IN_RUSSIA|«MADE IN RUSSIA»
_MADE_IN_RUSSIA2|«MADE IN RUSSIA 2»
_FRAGS_RUSSIAN_WEAPON|Reach %param% frags with Russia's weapons
_SNIPER|SNIPER
_FRAGS_SNIPER_RIFLE|Reach 1000 frags with sniper rifle
_SECONDARY_WEAPON|SECONDARY WEAPON
_FRAGS_PISTOL|Reach 300 frags with pistol
_GIFT_CASE_ANNIVERSARY|Gift case anniversary
_GIFT_KEY_ANNIVERSARY|Gift key anniversary
_FRAGS_HEADSHOT|Reach 500 frags with headshot
_VICTORY_DAY|VICTORY DAY
_GIFT_CASE_VICTORYDAY|Gift case Victory Day
_GIFT_KEY_VICTORYDAY|Gift key Victory Day
_VICTORY_CASE|VICTORY CASE
_FRAGS_ANY_WEAPON_THIS_CASE|<size=14>Reach 1000 frags with any weapons<br><color=orange>+50% to progress with use weapons from this case</color></size>
_GIFT_CASE_HALLOWEEN|Gift case Halloweeen
_GIFT_KEY_HALLOWEEN|Gift Key Halloweeen
_FRAGS_MELEE_WEAPON|Reach 500 frags with melee weapon
_HAPPY_NEW_YEAR|HAPPY NEW YEAR
_FRAGS_ANY_WEAPON|Reach 1000 frags with any weapon
_REWARD|REWARD
_AWARE_AWARD|TAKE REWARD
_SELECT_TASK|SELECT TASK
_SELECTED|SELECTED
_QUALITY_GRAPHICS|QUALITY
_SWITCHED_OFF|DISABLED
_SWITCHED_ON|ENABLED
_CENTER|CENTER
_LEFT|LEFT
_WHITE|WHITE
_GREEN|GREEN
_YELLOW|YELLOW
_BLUE|BLUE
_ORANGE|ORANGE
_MEAN|NORMAL
_HIGH|HIGH
_VERY_HIGH|VERY HIGH
_LOW|LOW
_ULTRA|ULTRA
_RECRUIT|RECRUIT
_COLOR_SIGHT|CROSSHAIR COLOR
_DISPLAY_LIFE|DISPLAY HEALTH
_CHAT_FILTER|CHAT FILTER
_NETWORK_SURFACE|NETWORK SMOOTH
_DEVELOPERS_MODE|DEVELOPERS MODE
_SCREEN_RESOLUTION|SCREEN RESOLUTION
_DYNAMIC_LIGHTING|DYNAMIC LIGHTING
_BLICKS|BLICKS
_PARTICLES|PARTICLES
_SMOOTHING|SMOOTHING
_MOTION_BLUR|MOTION BLUR
_FULL_SCREEN|Fullscreen hotkey <color=#FF0>F9</color>
_MOUSE_SENSITIVITY|MOUSE SENSITIVITY
_MOUSE_SENSITIVITY_AIM|MOUSE SENSITIVITY (AIM)
_SOUND_VOLUME|SOUND VOLUME
_MUSIC_VOLUME|MUSIC VOLUME
_REPEAL|CANCEL
_SAVE|SAVE
_SETTINGS_SAVED|SETTINGS SAVED!
_BACK|BACK
_OFFICIAL_SERVER|OFFICIAL SERVERS
_USER_SERVER|USERS SERVERS
_BASIC_MODE_GAME|Default gamemodes and maps
_MODIFIED_MODE_GAME|Custom gamemodes and user-created maps
_HIDE_FULL_SERVER|Hide full server
_HIDE_EMPTY_SERVER|Hide empty server
_ALL_MODES|All modes
_FILTER_TDM|Team deathmatch
_FILTER_FFA|Free for all
_FILTER_SHOVEL|Shovel battle
_FILTER_ELIMINATION|Elimination
_MODE_TDM|TEAM DEATHMATCH
_MODE_SHOVEL|SHOVEL BATTLE
_MODE_FFA|FREE FOR ALL
_MODE_TEST|TEST MODE
_MODE_ELIMINATION|ELIMINATION
_MODE_INFECTION|INFECTION
_RENDER_DEV|RENDER CHAR
_RENDER_CASE|RENDER CASE
_EDITOR_SKIN|SKIN EDITOR
_EDITOR_MAP|MAP EDITOR
_SQUAD|SQUAD
_CREATE_SERVER|CREATE SERVER
_REFRESH_SERVER|REFRESH LIST
_SERVER|SERVER
_MODE|MODE
_PLAYERS|PLAYERS
_LEVEL|LEVEL
_CONNECT|CONNECT
_TEST_MAP|TEST MAP
_LOAD_MAP|LOAD MAP
_NEW_MAP|NEW MAP
_NEW_SKIN|NEW SKIN
_LOAD_SKIN|LOAD SKIN
_EXPA|EXP:
_LEVEL_PROGRESS|LEVEL PROGRESS:
_DEATH|DEATH:
_RATIO|K/D RATIO:
_ASSIST|ASSIST:
_HEADSHOT|HEADSHOTS:
_PLAYER|PLAYER
_NOT_ENTER_RATING|NOT IN RATING
_SHOW|SHOW
_WAITING_CONFIRM|Waiting for confirmation of receipt of item...
_THANK_YOU_PURCHASE|Thank you for your purchase! Item is in inventory
_TRY_AGAIN|An error has occurred, please try again later.
_CASE_CONTAIN_SUBJECTS|The case may contain one of the following items:
_CASE_IN_WORKSHOP|This case can be obtained in the workshop in the exchage section
_CASE_JOB|This case can be obtained for free by completing the task
_AVAILABLE_CASE|Available cases:
_SUPPLY THROUGH|Restocking in via
_KEY_ONE_OPEN|One-time key opens the appropriate case
_COSTUME_CAN_COMBINED|Character costume (can be combined with other items of clothing)
_OPEN|OPEN
_COST|COST:
_BUY_MORE|BUY +1
_GOTO|GOTO
_NOT_MISS_COIN|Not enough coins to buy
_FILL_COINS|ADD COINS
_EXIT|EXIT
_NO_WEAPON|NO WEAPON
_MASTERLY|MASTERFUL!
_PERFECTLY|PERFECT!
_EXCELLENT|EXCELLENT!
_IDEALLY|IDEALLY!
_CLICK_SELECT_WEAPON|PRESS <color=yellow>E</color> TO CHANGE SET
_WEAPON_CHANGE_REVIVAL|THE WEAPON WILL CHANGE AT THE NEXT REVIVAL
_NO_AMMO|NO AMMO
_WON|WON
_NEXT_GAME_WILLBE|THE NEXT GAME WILL BEGIN IN
_GAME_OVER|GAME IS COMPLETED
_TEAM_RED_WINS|RED TEAM WON
_TEAM_BLUE_WINS|BLUE TEAM WON
_DRAW|DRAW
_YOU_WERE_KILLED|YOU KILLED BY
_WEAPON|Weapon
_SPECIALIZATION|Specialization
_YOU|YOU
_ENEMY|ENEMY
_HOLD_REDIAL_VIEWING|HOLD <color=yellow>H</color> FOR VIEW
_TO_TEAM|(team)
_TOTAL|TOTAL
_WAITING_AUTH|AUTHORIZATION PENDING
_PLAY|PLAY
_INVENTORY|INVENTORY
_MENU_WEAPON|WEAPON
_CHARACTER|CHARACTER
_CASES|CASES
_PROFILE|PROFILE
_SHOP|SHOP
_KEYS|KEYS
_SUIT|SUITS
_WORKSHOP|WORKSHOP
_PARSE|EXCHANGE
_UPGRADE|UPGRADE
_BUYING_CASES|SELL CASE
_TASKS|TASKS
_COMBAT|COMBAT
_BONUSES|BONUSES
_RATING|RATING
_OPTIONS|OPTIONS
_GAME|GAME
_GRAPHICS|GRAPHICS
_CONTROL|CONTROL
_SOUND|SOUND
_SELECT_NAME|SELECT NAME
_COMPLETION|BUY GOLD
_CLANS|CLANS
_MY_CLAN|MY CLAN
_FIND_CLAN|FIND CLAN
_MESSAGES|MESSAGES
_CLICK_CHANGE_NAME|CLICK TO CHANGE NAME
_CLICK_FILL_COINS|CLICK TO ADD GOLD
_CLICK_CONTINUE|CLICK THE MOUSE TO CONTINUE
_AUTH_SUCCESSFULLY|AUTHORIZATION SUCCESSFUL
_YOU_KILLED_PLAYER|Вас убил игрок
_YOU_KILLED|Вы убили
_SURVIVAL_TIME|Время выживания
_MIN|мин
_SERVER_AVAILABLE_WILL_BE|The next entry to the server will be available through
_NOT_CONNECT_TIMEOUT|FAILED TO CONNECT TO SERVER (TIMEOUT)
_PRESERVED|SAVED!
_INCORRECT_LENGTH|INCORRECT LENGTH
_MIX_LANGUAGES|MIX LANGUAGES
_NAME_BUSY|NAME ALREADY TAKEN
_YOU_TAKE|YOU PLACE
_PLACE_RATING|IN RATING
_MEMBERS|CLANMATES
_INCORRECT_CLAN_NAME|INCORRECT CLAN NAME
_CLAN_NOT_FOUND|CLAN NOT FOUND
_CLAN_FOUND|CLAN FOUND
_NOT_CONNECT_LOST_CONNECTION|FAILED TO CONNECT TO SERVER (LOST CONNECTION)
_ONLINE|ONLINE:
_LOADING|LOADING
_CLICK_OPEN_ADMIN_MENU_SERVER|PRESS <color=yellow>K</color> TO OPEN THE MENUS FOR THE SERVER ADMINISTRATOR
_MENU_ADMIN_SERVER|SERVER ADMINISTRATOR MENU
_SERVER_CONFIG|SERVER CONFIG
_MAPS_MANAGER|MAPS MANAGER
_PLAYERS_MANAGER|PLAYER MANAGER
_MAPS_LOADING|MAPS LOADING
_MAPS_AVAILABLE|MAPS AVAILABLE
_MAPS_ROTATION|MAPS ROTATION
_ADD_TO_ROTATION|ADD TO ROTATION
_REQUEST_ADDING_TO_ROTATION|REQUEST TO ADD MAP
_TO_ROTATION|to rotation
_REMOVE_FROM_ROTATION|REMOVE FROM ROTATION
_REQUEST_REMOVE_FROM_ROTATION|request to remove map
_FROM_ROTATION|from rotatopn
_LAUNCH_MAP|START MAP
_REQUEST_LAUNCH_MAP|request to start map
_KICK_FROM_SERVER|KICK FROM SERVER
_REQUEST_FOR_KICK_PLAYER|request to kick player
_PERMISSION_CHAT|DENY/ALLOW CHAT
_REQUEST_SILENCE_PLAYER|request mute/unmute player
_PERMISSION_BUILDING|DENY/ALLOW BUILD
_REQUEST_BUILD_FOR_PLAYER|request build accest to player
_MODE_GAME|GAMEMODE
_VISIBILITY_SERVER|SERVER VISIBILITY
_VISIBLE_EVERYONE|EVERYONE
_HIDDEN|HIDDEN
_MODIFIERS|MODIFICATORS
_ALLOW_BREAK|ALLOW BREAK
_FORBIDDEN_BREAK|FORBIDDEN BREAK
_ALLOW_BUILD|РALLOW BUILD
_FORBIDDEN_BUILD|FORBIDDEN BUILD
_ALLOW_ATTACK|ALLOW ATTACK
_FORBIDDEN_ATTACK|FORBIDDEN ATTACK
_LOCAL_MAPS|LOCAL MAPS
_MAPS_ON_SERVER|SERVER MAPS
_REMOVE_MAP|REMOVE MAP
_REQUEST_REMOVE_MAP|request to remove map
_SEND_TO_SERVER|SEND TO SERVER
_DOWNLOAD_FROM_DISK|LOAD FROM HDD
_REQUEST_PLAYER_TO_CLAN|clan join request
_CLANCHAT|CLAN CHAT
_PLAYERS|PLAYERS
_LANGUAGE|LANGUAGE
_TAP_CONTINUE|TAP TO CONTINUE
_CROSSPLAY|Crossplatform servers
_FULL|FULL
_CHANGE_TEAM|CHANGE TEAM
_QUICK_PLAY|QUICK PLAY
_SERVER_LIST|SERVER LIST
_LOGOUT|LOG OUT FROM PROFILE
_FPS_LIMIT|FPS LIMIT
_FIELDOFVIEW|FIELD OF VIEW
_SENSITIVITY|SENSITIVITY
_SENSITIVITY_AIM|SENSITIVITY (AIM)
_LOGIN_GAME|ENTER THE GAME
_LOGIN_VK|ENTER VIA VK
_ORDER_LIST|ORDER LIST
_CLAN_EXP|CLAN EXP
_LEVEL_PROGRESS|LEVEL PROGRESS
_CLAN_FRAGS|CLAN FRAGS:
_CLAN_DEATHS|CLAN DEATHS:
_PLAYER_STATS|PLAYER STATS
_PLAYER_GAINED|EXP GAINED:
_UPLOAD_FILES|ЗАГРУЗКА ФАЙЛОВ
_ROUND|ROUND
_ROUND_WON|ROUND WON
_ROUND_LOSE|ROUND LOST
_ENEMY_ELIMINATED|ENEMY ELIMINATED
_ROUND_TIME_END|ROUND TIME EXCEEDED
_RESET|RESET
_CHANGE_CONTROL|CHANGE CONTROL
_FILTER_INFECTION|Infection
_PRESET|PRESET
_RENDER_DISTANCE|RENDER DISTANCE
_PERFOMANCE|PERFOMANCE
_QUALITY|QUALITY
_PLACE_WEAPON_CASE_STEAM|Set 3 identical weapons for exchange <color=red>(weapons will be destroyed permanently)</color>, in result you will receive a special case.
_MOVEMENT|MOVEMENT
_WEAPONS|WEAPONS
_CHAT|CHAT
_GAMEPLAY|GAMEPLAY
_FORWARD|FORWARD
_BACKWARD|BACKWARD
_STRAFE_LEFT|STRAFE LEFT
_STRAFE_RIGHT|STRAFE RIGHT
_PREVIOUS_WEAPON|PREVIOUS WEAPON
_ALL_CHAT|CHAT (ALL)
_TEAM_CHAT|TEAM CHAT
_CHANGE_SET|CHANGE SET
_SECOND_ATTACK|ADDITIONAL ATTACK BUTTON
_CROUCH|CROUCH
_REQUIRED_LEVEL|LEVEL {0} REQUIRED
_FILTER_FREEZETAG|Freeze tag
_FILTER_PISTOL|Pistol only
_FILTER_GUNGAME|Gun Game
_MODE_FREEZETAG|FREEZE TAG
_MODE_PISTOL|PISTOL ONLY
_MODE_GUNGAME|GUN GAME
_CONNECTION_ATTEMPT|CONNECTION_ATTEMPT
_CLAN|CLAN
_SLOTS|SLOTS
