_GAMENAME|BLOCKPOST
_CLAN_NOT_ACCEPT_APPLICATION|クランはメンバーシップを拒否しました
_CHANGE_STATUS|状態を変える
_CURRENT_NUMBER_SLOTS|スロットの状態 <color=#FF0>
_YOUR_CLAN_MAXIMUM|<color=#0F0>あなたのクランは200人に到達した</color>
_SLOTS_AFTER_EXPANSION|拡張後のスロット
_MAXIMUM_200|(最大 200)
_COST_OPERATION|オペレーションのコストは50コインです
_PLACE_WEAPON_CASE|3つの武器をセットして交換 <color=red>(セットした武器は削除されます)</color>特別な箱が貰えます
_PLACE_WEAPON_WEAPON|3つの現代の武器をセットして交換 <color=red>(セットした武器は削除されます)</color> 改造された武器が貰えます
_PLACE_CASE_2_COIN|1個のケースを売却します <color=red>(ケースはインベントリから削除されます)</color> 2コイン貰えます
_PLACE_CASE_3_COIN|1個のケースを売却します <color=red>(ケースはインベントリから削除されます)</color> 1コイン貰えます
_PLACE_CASE_1_COIN|1個のケースを売却します <color=red>(ケースはインベントリから削除されます)</color> 1コイン貰えます
_WAITING_SERVER|サーバーの反応を待ってます
_START_DISARMAMENT|交換する
_START_UPGRADE_NOT|現代化する (開発中)
_SALE_WILL_BE|売却は可能です
_START_SALE|売却をする
_MAP_SAVED|マップをセーブします
_CONSERVATION|マップをセーブ中
_ENABLE_CHAT|チャットを有効
_DISABLE_CHAT|チャットを無効
_GAME_MENU|ゲームメニュー
_BACK_TO_GAME|ゲームに戻る
_CHANGE_WEAPON|武器を変える
_SAVE_MAP|マップをセーブ
_EXIT_MAIN_MENU|メインメニューに戻る
_SET1|SET 1
_SET2|SET 2
_SET3|SET 3
_PRIMARY|メイン
_SECONDARY|サブ
_MELEE|近接
_BUILDING_BLOCK|ブロック
_ADDITIONAL|スペシャル
_COIN|コイン
_COINS|コイン
_VOICE|ボイス
_VOICES|ボイス
_DAMAGE|ダメージ
_CAGE|装弾数
_STOCK|弾薬
_RATE_FIRE|連射速度
_DISTANCE|飛距離
_ACCURACY|精度
_RELOAD_SPEED|リロード速度
_RECOIL|リコイル
_PROPERTIES|貫通
_MOBILITY|機動力
_OVERVIEW|詳細
_WEAR_WEAPON|武器を取る
_REMOVE_WEAPON|武器を外す
_COLOR_SKIN|肌の色
_COLOR_EYE|目の色
_COLOR_HAIR|髪の色
_HAIRSTYLE|髪型
_EYE_TYPE|目
_BEARD|髭
_HAT|マスク
_BODY|体
_PANTS|ズボン
_BOOTS|靴
_BASIC_LVL|Lv.
_FRAGS|フラグ:
_PROGRESS|進捗
_WITHOUT_SIGHT|WITHOUT SIGHT
_NEW_MAP|新しいマップ
_IS_LOADING|ロード中...
_NAME_MAP|マップ名
_SIZE_MAP|マップのサイズ
_HEIGHT_MAP|高さ
_CREATE|作成
_LOAD|ロード
_CHANGE_NAME|改名
_SAVING|セーブ中...
_PURCHASE_CHANGE_NAME|名前変更を買う(2回)
_BUY|買う
_REGULAR_TASKS|通常のタスク
_ACTIVE_TASKS|アクティブなタスク
_PROGRESS_ACTIVITIES|以下のタスクは常に有効です
_MUST_SELECT_TASK|タスクを選択してください
_NEW_LVL|新しいレベル
_REACH_LVL|次のレベルまで%param% 
_SHTORM_TROOPER|突撃隊
_FRAGS_ASSAULT_RIFLE|アサルトライフルで %param% 回キル
_MADE_IN_RUSSIA|«メイド イン ロシア»
_MADE_IN_RUSSIA2|«メイド イン ロシア2»
_FRAGS_RUSSIAN_WEAPON|ロシア製の武器で %param% 回キル
_SNIPER|スナイパー
_FRAGS_SNIPER_RIFLE|スナイパーライフルで1000回キル
_SECONDARY_WEAPON|サブ武器
_FRAGS_PISTOL|ピストルで300回キル
_GIFT_CASE_ANNIVERSARY|記念のケース
_GIFT_KEY_ANNIVERSARY|記念のキー
_FRAGS_HEADSHOT|500回ヘッドショット
_VICTORY_DAY|勝利の日
_GIFT_CASE_VICTORYDAY|勝利の日のケース
_GIFT_KEY_VICTORYDAY|勝利の日の鍵
_VICTORY_CASE|勝利のケース
_FRAGS_ANY_WEAPON_THIS_CASE|<size=14>いずれかの武器で1000キル<br><color=orange>この箱からでた武器で+50％進行度上昇</color></size>
_GIFT_CASE_HALLOWEEN|ハロウィンのケース
_GIFT_KEY_HALLOWEEN|ハロウィンのケースキー
_FRAGS_MELEE_WEAPON|近接武器で500回キル
_HAPPY_NEW_YEAR|ハッピーニューイヤー
_FRAGS_ANY_WEAPON|いずれかの武器で1000回キル
_REWARD|リワード
_AWARE_AWARD|リワードを取得
_SELECT_TASK|タスクを選択
_SELECTED|選択済
_QUALITY_GRAPHICS|画質
_SWITCHED_OFF|無効
_SWITCHED_ON|有効
_CENTER|真ん中
_LEFT|左
_WHITE|ホワイト
_GREEN|グリーン
_YELLOW|イエロー
_BLUE|ブルー
_ORANGE|オレンジ
_MEAN|普通
_HIGH|高
_VERY_HIGH|最高
_LOW|低
_ULTRA|ウルトラ
_RECRUIT|リクルート
_COLOR_SIGHT|クロスヘアの色
_DISPLAY_LIFE|体力の表示
_CHAT_FILTER|チャットフィルター
_NETWORK_SURFACE|ネットワークの最適化
_DEVELOPERS_MODE|開発者モード
_SCREEN_RESOLUTION|解像度
_DYNAMIC_LIGHTING|ダイナミックライティング
_BLICKS|ブリックス
_PARTICLES|パーティクル
_SMOOTHING|スムージング
_MOTION_BLUR|モーションブラー
_FULL_SCREEN|フルスクリーンキー <color=#FF0>F9</color>
_MOUSE_SENSITIVITY|マウス感度
_MOUSE_SENSITIVITY_AIM|マウス感度 (エイム)
_SOUND_VOLUME|サウンド音量
_MUSIC_VOLUME|音楽の音量
_REPEAL|取消
_SAVE|セーブ
_SETTINGS_SAVED|設定を保存しました
_BACK|戻る
_OFFICIAL_SERVER|公式サーバー
_USER_SERVER|ユーザーサーバー
_BASIC_MODE_GAME|デフォルトのマップとゲームモード
_MODIFIED_MODE_GAME|カスタムのマップとゲームモード
_HIDE_FULL_SERVER|空きのないサーバーを非表示
_HIDE_EMPTY_SERVER|空きサーバーを非表示
_ALL_MODES|全てのモード
_FILTER_TDM|チームデスマッチ
_FILTER_FFA|FFA
_FILTER_SHOVEL|ショベルバトル
_FILTER_ELIMINATION|殲滅
_MODE_TDM|チームデスマッチ
_MODE_SHOVEL|ショベルバトル
_MODE_FFA|FFA
_MODE_TEST|テストモード
_MODE_ELIMINATION|殲滅
_MODE_INFECTION|感染
_RENDER_DEV|レンダリングタイプ
_RENDER_CASE|レンダリング情報
_EDITOR_SKIN|スキンエディター
_EDITOR_MAP|マップエディター
_SQUAD|スクワッド
_CREATE_SERVER|サーバー作成
_REFRESH_SERVER|リフレッシュ
_SERVER|サーバー
_MODE|モード
_PLAYERS|プレイヤー
_LEVEL|レベル
_CONNECT|接続
_TEST_MAP|テストマップ
_LOAD_MAP|ロードマップ
_NEW_MAP|新しいマップ
_NEW_SKIN|新しいスキン
_LOAD_SKIN|スキンをロード
_EXPA|経験値:
_LEVEL_PROGRESS|レベルの進行度:
_DEATH|死亡:
_RATIO|KDレート:
_ASSIST|アシスト:
_HEADSHOT|ヘッドショット:
_PLAYER|プレイヤー
_NOT_ENTER_RATING|ランキング外
_SHOW|表示
_WAITING_CONFIRM|アイテムの受領確認を待っています...
_THANK_YOU_PURCHASE|ご購入いただきありがとうございます！ アイテムはインベントリにあります
_TRY_AGAIN|エラーが発生しました、しばらく経ってから再度お試しください
_CASE_CONTAIN_SUBJECTS|このケースからは以下の武器が出ます
_CASE_IN_WORKSHOP|ケースには、次のいずれかの項目が含まれている可能性があります。
_CASE_JOB|このケースはタスクを完了することで無料で手に入ります
_AVAILABLE_CASE|利用可能なケース：
_SUPPLY THROUGH|入荷まで
_KEY_ONE_OPEN|ケースを一回開けれるキーです
_COSTUME_CAN_COMBINED|キャラクターコスチューム (他の衣服と組み合わせることができます)
_OPEN|開く
_COST|コスト:
_BUY_MORE|もう一個買う
_GOTO|に行く
_NOT_MISS_COIN|コインが不足しています
_FILL_COINS|コインを追加
_EXIT|退出
_NO_WEAPON|武器がありません
_MASTERLY|マスター!
_PERFECTLY|パーフェクト!
_EXCELLENT|エクセレント!
_IDEALLY|理想的!
_CLICK_SELECT_WEAPON| <color=yellow>E</color> を押して変更
_WEAPON_CHANGE_REVIVAL|次のリスポーンで適用されます
_NO_AMMO|弾切れ
_WON|勝利
_NEXT_GAME_WILLBE|次のゲームまで
_GAME_OVER|ゲーム終了
_TEAM_RED_WINS|レッドチームの勝利
_TEAM_BLUE_WINS|ブルーチームの勝利
_DRAW|ドロー
_YOU_WERE_KILLED|あなたを殺したのは
_WEAPON|武器
_SPECIALIZATION|特殊
_YOU|あなた
_ENEMY|敵
_HOLD_REDIAL_VIEWING|<color=yellow>H</color> を押して見る
_TO_TEAM|(チーム)
_TOTAL|トータル
_WAITING_AUTH|ロード中
_PLAY|プレイ
_INVENTORY|インベントリ
_MENU_WEAPON|武器
_CHARACTER|キャラクター
_CASES|ケース
_PROFILE|プロフィール
_SHOP|ショップ
_KEYS|キー
_SUIT|スーツ
_WORKSHOP|ワークショップ
_PARSE|交換
_UPGRADE|アップグレード
_BUYING_CASES|ケース売却
_TASKS|タスク
_COMBAT|戦闘
_BONUSES|ボーナス
_RATING|ランキング
_OPTIONS|オプション
_GAME|ゲーム
_GRAPHICS|グラフィック
_CONTROL|コントロール
_SOUND|サウンド
_SELECT_NAME|名前を選択
_COMPLETION|ゴールドを購入
_CLANS|クラン
_MY_CLAN|自分のクラン
_FIND_CLAN|クランを探す
_MESSAGES|メッセージ
_CLICK_CHANGE_NAME|クリックで名前を変更
_CLICK_FILL_COINS|クリックでゴールドを追加
_CLICK_CONTINUE|クリックで続行
_AUTH_SUCCESSFULLY|承認完了
_YOU_KILLED_PLAYER|チームメイトを殺した
_YOU_KILLED|あなたが殺害した
_SURVIVAL_TIME|生存時間
_MIN|分
_SERVER_AVAILABLE_WILL_BE|サーバーへの次のエントリーは
_NOT_CONNECT_TIMEOUT|接続失敗 (タイムアウト)
_PRESERVED|セーブ
_INCORRECT_LENGTH|長さが間違っています
_MIX_LANGUAGES|混ざった言語
_NAME_BUSY|名前は既に使われています
_YOU_TAKE|あなたの場所
_PLACE_RATING|ランキング内
_MEMBERS|クランメンバー
_INCORRECT_CLAN_NAME|クランネームが間違っています
_CLAN_NOT_FOUND|クランが見つかりませんでした
_CLAN_FOUND|クランが見つかりました
_NOT_CONNECT_LOST_CONNECTION|接続に失敗しました (接続切断)
_ONLINE|オンライン:
_LOADING|ロード
_CLICK_OPEN_ADMIN_MENU_SERVER|PRESS <color=yellow>K</color> でサーバー管理者のメニューを開く
_MENU_ADMIN_SERVER|サーバー管理者メニュー
_SERVER_CONFIG|サーバーのコンフィグ
_MAPS_MANAGER|マップマネージャー
_PLAYERS_MANAGER|プレイヤーマネージャー
_MAPS_LOADING|マップロード
_MAPS_AVAILABLE|利用可能なマップ
_MAPS_ROTATION|マップローテーション
_ADD_TO_ROTATION|ローテーションに追加
_REQUEST_ADDING_TO_ROTATION|マップの追加をリクエストする
_TO_ROTATION|to rotation
_REMOVE_FROM_ROTATION|ローテーションから削除
_REQUEST_REMOVE_FROM_ROTATION|ローテーションの削除をリクエスト
_FROM_ROTATION|from rotation
_LAUNCH_MAP|マップを開始
_REQUEST_LAUNCH_MAP|マップの開始をリクエスト
_KICK_FROM_SERVER|サーバーからキック
_REQUEST_FOR_KICK_PLAYER|プレイヤーのキックをリクエスト
_PERMISSION_CHAT|チャットを 拒否/許可
_REQUEST_SILENCE_PLAYER|プレイヤーのアンミュート/ミュートをリクエスト
_PERMISSION_BUILDING|ビルド 拒否/許可 
_REQUEST_BUILD_FOR_PLAYER|プレイヤーの建築の許可をリクエスト
_MODE_GAME|ゲームモード
_VISIBILITY_SERVER|サーバーの可視
_VISIBLE_EVERYONE|全員
_HIDDEN|非表示
_MODIFIERS|改変者
_ALLOW_BREAK|破壊を有効
_FORBIDDEN_BREAK|破壊を無効
_ALLOW_BUILD|建築を有効
_FORBIDDEN_BUILD|建築を無効
_ALLOW_ATTACK|攻撃を有効
_FORBIDDEN_ATTACK|攻撃を無効
_LOCAL_MAPS|ローカルマップ
_MAPS_ON_SERVER|サーバーマップ
_REMOVE_MAP|マップ削除
_REQUEST_REMOVE_MAP|マップの削除をリクエスト
_SEND_TO_SERVER|サーバーに送信
_DOWNLOAD_FROM_DISK|HDDからロード
_REQUEST_PLAYER_TO_CLAN|クランの加入申請
_CLANCHAT|クランチャット
_PLAYERS|プレイヤー
_LANGUAGE|言語
_TAP_CONTINUE|クリックで続行
_CROSSPLAY|クロスプレイ
_FULL|フル
_CHANGE_TEAM|チーム変更
_QUICK_PLAY|クイックプレイ
_SERVER_LIST|サーバーリスト
_LOGOUT|ログアウト
_FPS_LIMIT|FPS制限
_FIELDOFVIEW|視野角
_SENSITIVITY|マウス感度
_SENSITIVITY_AIM|マウス感度 (エイム)
_LOGIN_GAME|ゲームに参加
_LOGIN_VK|VKに参加
_ORDER_LIST|リストオーダー
_CLAN_EXP|クラン経験値
_LEVEL_PROGRESS|レベル進行度
_CLAN_FRAGS|クランキル数:
_CLAN_DEATHS|クランデス数:
_PLAYER_STATS|プレイヤーのステータス
_PLAYER_GAINED|取得経験値:
_UPLOAD_FILES|必要なファイルをダウンロードしています
_ROUND|ラウンド
_ROUND_WON|ラウンド勝利
_ROUND_LOSE|ラウンド敗北
_ENEMY_ELIMINATED|敵が全滅
_ROUND_TIME_END|タイムオーバー
_RESET|リセット
_CHANGE_CONTROL|コントロール変更
_FILTER_INFECTION|感染
_PRESET|プリセット
_RENDER_DISTANCE|レンダー距離
_PERFOMANCE|パフォーマンス
_QUALITY|クオリティ
_PLACE_WEAPON_CASE_STEAM|3つの同じ武器を合わせることで特別なケースと交換できます <color=red>(交換に使った武器は破壊されます)</color>, 
_MOVEMENT|移動
_WEAPONS|武器
_CHAT|チャット
_GAMEPLAY|ゲームプレイ
_FORWARD|前進
_BACKWARD|後進
_STRAFE_LEFT|左
_STRAFE_RIGHT|右
_PREVIOUS_WEAPON|前の武器
_ALL_CHAT|全体チャット
_TEAM_CHAT|チームチャット
_CHANGE_SET|セット変更
_SECOND_ATTACK|攻撃
_CROUCH|しゃがみ
